#RNA counts for gene AT2G14610_PR1				
Sample	Environment	Genotype	Environment:Genotype	Count
R82L1S86	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	21.81095354
R82L1S87	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	707.2410606
R82L1S88	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	635.8785077
R82L1S89	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	0.5
R82L1S90	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	256.2859177
R82L1S91	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	529.2320087
R82L1S92	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	135.0597741
R82L1S93	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	0.5
R82L1S95	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	7.671648591
R82L1S96	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	249.0028063
R211L5S1	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5
R211L5S5	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.012976441
R211L5S6	F-Z	Est1	F-Z_Est1	3.642345094
R211L5S8	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	3.391040052
R211L5S10	F-Z	Est1	F-Z_Est1	1.71884853
R211L5S11	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	6.328444595
R211L5S12	F-Z	Est1	F-Z_Est1	2.322947322
R211L5S14	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	4.233056293
R211L5S15	F-Z	Est1	F-Z_Est1	9.5044479
R211L5S16	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.327003846
R211L5S17	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	6.401156638
R211L5S18	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	3.930743413
R211L5S21	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	6.950946945
R211L5S22	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	292.3926399
R211L5S23	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	11.31635554
R211L5S24	F-Z	Est1	F-Z_Est1	6.564529476
R211L5S26	F-Z	Est1	F-Z_Est1	0.5
R211L5S27	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	19.8764015
R211L5S29	F-Z	Est1	F-Z_Est1	4.990813264
R211L5S30	F-Z	Est1	F-Z_Est1	15.91526632
R211L5S32	F-Z	Est1	F-Z_Est1	0.5
R211L5S33	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	1.605923411
R211L5S34	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5
R211L5S35	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.892165314
R211L5S36	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	5.174007209
R211L5S37	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.983752617
R211L5S38	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	1.027774396
R211L5S39	F-Z	Est1	F-Z_Est1	6.880594096
R211L5S40	F-Z	Est1	F-Z_Est1	56.3774244
R211L5S41	F-Z	Est1	F-Z_Est1	10.90054834
R211L5S42	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.542057382
R211L5S43	F-Z	Est1	F-Z_Est1	6.981546241
R211L5S46	F-Z	Est1	F-Z_Est1	6.223488569
R211L5S48	F-Z	Est1	F-Z_Est1	6.373020158
R211L5S50	F-Z	Est1	F-Z_Est1	9.734319144
R211L5S53	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.639991634
R211L5S56	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.382949396
R211L5S58	F-Z	Est1	F-Z_Est1	4.29080013
R211L5S61	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	16.21745022
R211L5S63	F-Z	Est1	F-Z_Est1	5.614392141
R211L5S64	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	26.28130851
R211L5S66	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5
R211L5S68	F-Z	Est1	F-Z_Est1	0.5
R211L5S69	F-Z	Est1	F-Z_Est1	89.86797291
R211L5S70	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5
R211L5S72	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5
R211L5S73	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5
R211L5S74	F-Z	Est1	F-Z_Est1	0.5
R211L5S75	F-Z	Est1	F-Z_Est1	49.66437089
R211L5S78	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	24.74448144
R211L5S79	F-Z	Est1	F-Z_Est1	386.2275304
